date,predicted_close
2026-05-22,261.165337775805
2026-05-25,259.87421723849684
2026-05-26,257.79163014576676
2026-05-27,255.17293911303761
2026-05-28,252.23350122343456
2026-05-29,249.12486484252204
2026-06-01,245.95410172225618
2026-06-02,242.79641119210788
2026-06-03,239.70365779527953
2026-06-04,236.7104817664963
2026-06-05,233.83874882245308
2026-06-08,231.10070120959548
2026-06-09,228.50185326153988
2026-06-10,226.0426520864173
2026-06-11,223.71996792731034
2026-06-12,221.5286058135534
2026-06-15,219.46166750541025
2026-06-16,217.51163732810642
2026-06-17,215.6707866982337
2026-06-18,213.9312805780669
2026-06-19,212.28553942024146
2026-06-22,210.72662240329436
2026-06-23,209.24780161439634
2026-06-24,207.84311561180002
2026-06-25,206.5069648984355
2026-06-26,205.2344312848612
2026-06-29,204.0209159445862
2026-06-30,202.8623097409775
2026-07-01,201.75495064553314
2026-07-02,200.69553857442867
